Common_name,Ref,IUPAC_name,CAS_number,Formula,C,H,N,O,S,P,Canonical_smile,InchI,Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area,Polarizability,Hydrogen Acceptor Count,Hydrogen Donor Count,HOMO-1 (eV),HOMO (eV),LUMO (eV),Ionization Energy I (eV),Electron Affinity A (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ?N_Fe ,IE EXP (%)
Ampicillin,http://www.hmdb.ca/metabolites/HMDB0014559,"(2S,5R,6R)-6-[(2R)-2-amino-2-phenylacetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",        69-53-4,C16H19N3O4S,16,19,3,4,1,0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1",349.4,2.7,1.35,-2.8,112.73,34.54,5,3,-6.534,-6.158,-1.973,6.158,1.973,4.0655,2.0925,1.016375,0.701194743,92.8
Amphetamine,https://pubchem.ncbi.nlm.nih.gov/compound/3007,1-phenylpropan-2-amine,300-62-9,"	C9H13N",9,13,1,0,0,0,CC(N)CC1=CC=CC=C1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3
",135.21,9.8,1.8,-1.9,26.02,16.17,1,1,-6.474,-6.185,-1.386,6.185,1.386,3.7855,2.3995,0.946375,0.669827047,91.60674226
Amphotericin B,https://pubchem.ncbi.nlm.nih.gov/compound/Amphotericin%20B#section=Names-and-Identifiers,"33-(4-amino-3,5-dihydroxy-6-methyloxan-2-yl)oxy-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",1397-89-3,C47H73NO17,47,73,1,17,0,0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,"InChI=1S/C47H73NO17/c1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34(64-46-44(58)41(48)43(57)30(4)63-46)24-38-40(45(59)60)37(54)26-47(61,65-38)25-33(51)22-36(53)35(52)20-19-31(49)21-32(50)23-39(55)62-29(3)28(2)42(27)56/h5-18,27-38,40-44,46,49-54,56-58,61H,19-26,48H2,1-4H3,(H,59,60)",924.1,3.58,0.8,-4,319.61,99.45,17,12,-5.792,-5.274,-3.29,5.274,3.29,4.282,0.992,1.0705,1.369959677,92.68089916
Anileridine,https://www.drugbank.ca/drugs/DB00913,ethyl 1-[2-(4-aminophenyl)ethyl]-4-phenylpiperidine-4-carboxylate,144-14-9,C22H28N2O2,22,28,2,2,0,0,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1,"InChI=1S/C22H28N2O2/c1-2-26-21(25)22(19-6-4-3-5-7-19)13-16-24(17-14-22)15-12-18-8-10-20(23)11-9-18/h3-11H,2,12-17,23H2,1H3
",352.5,8.88,3.7,-4.5,55.56,40.98,3,1,-5.361,-5.109,-1.551,5.109,1.551,3.33,1.779,0.8325,1.031478359,93.06461167
Anisindione,https://www.drugbank.ca/drugs/DB01125,"2-(4-methoxyphenyl)-2,3-dihydro-1H-indene-1,3-dione",117-37-3,"C16H12O3
",16,12,0,3,0,0,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,"InChI=1S/C16H12O3/c1-19-11-8-6-10(7-9-11)14-15(17)12-4-2-3-5-13(12)16(14)18/h2-9,14H,1H3
",252.26,4.1,2.88,-4.3,43.37,26.3,3,0,-6.26,-5.604,-3.344,5.604,3.344,4.474,1.13,1.1185,1.117699115,90.55879976
Antazoline ,http://www.hmdb.ca/metabolites/HMDB0015689,"N-benzyl-N-(4,5-dihydro-1H-imidazol-2-ylmethyl)aniline",91-75-8,C17H19N3,17,19,3,0,0,0,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,"InChI=1S/C17H19N3/c1-3-7-15(8-4-1)13-20(14-17-18-11-12-19-17)16-9-5-2-6-10-16/h1-10H,11-14H2,(H,18,19)
",265.35,10,3.22,-3.4,27.63,30.11,3,1,-5.335,-5.223,-1.648,5.223,1.648,3.4355,1.7875,0.858875,0.997062937,93.37580294
Antipyrine,http://www.hmdb.ca/metabolites/HMDB0015503,"1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one",60-80-0,"	C11H12N2O",11,13,2,1,0,0,CN1N(C(=O)C=C1C)C1=CC=CC=C1,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3
",188.33,2.2,0.38,-0.6,23.55,20.4,2,0,-5.635,-5.313,-1.894,5.313,1.894,3.6035,1.7095,0.900875,0.993419128,95.7
Apomorphine,https://www.drugbank.ca/drugs/DB00714,"(9R)-10-methyl-10-azatetracyclo[7.7.1.0²,⁷.0¹³,¹⁷]heptadeca-1(16),2(7),3,5,13(17),14-hexaene-3,4-diol",58-00-4,C17H17NO2,17,17,1,2,0,0,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,"InChI=1S/C17H17NO2/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12/h2-6,13,19-20H,7-9H2,1H3/t13-/m1/s1",267.32,7,3.1,-2.7,43.7,29.7,3,2,-5.519,-5.239,-2.01,5.239,2.01,3.6245,1.6145,0.906125,1.045370084,90.16603679
Aprobarbital,https://www.drugbank.ca/drugs/DB01352,"5-(prop-2-en-1-yl)-5-(propan-2-yl)-1,3-diazinane-2,4,6-trione
",77-02-1,C10H14N2O3,10,14,2,3,0,0,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,"InChI=1S/C10H14N2O3/c1-4-5-10(6(2)3)7(13)11-9(15)12-8(10)14/h4,6H,1,5H2,2-3H3,(H2,11,12,13,14,15)

",210.23,7.8,1.15,-1.6,75.27,20.5,3,2,-6.951,-6.689,-2.459,6.689,2.459,4.574,2.115,1.1435,0.573522459,93.41612323
Arecoline,https://www.drugbank.ca/drugs/DB04365,"methyl 1-methyl-1,2,5,6-tetrahydropyridine-3-carboxylate",63-75-2,C8H13NO2,8,13,1,2,0,0,COC(=O)C1=CCCN(C)C1,"InChI=1S/C8H13NO2/c1-9-5-3-4-7(6-9)8(10)11-2/h4H,3,5-6H2,1-2H3
",155.19,7.6,0.35,0.81,29.54,17.1,2,0,-6.32,-5.358,-2.302,5.358,2.302,3.83,1.528,0.9575,1.037303665,96.97
Ascorbic Acid,https://www.drugbank.ca/drugs/DB00126,"(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2,5-dihydrofuran-2-one",50-81-7,C6H8O6,6,8,0,6,0,0,C(C(C1C(=C(C(=O)O1)O)O)O)O,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1
",176.12,4.7,-1.85,0.14,107.22,14.93,5,4,-6.409,-5.9,-2.042,5.9,2.042,3.971,1.929,0.99275,0.785121825,82.9
Aspirine ,https://pubchem.ncbi.nlm.nih.gov/compound/2244#section=Names-and-Identifiers,2-acetyloxybenzoic acid,50-78-2,C9H8O4,8,8,0,4,0,0,CC(=O)OC1=CC=CC=C1C(=O)O,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)

",180.16,3.5,1.8,-2.1,63.6,17.1,3,1,-6.654,-6.587,-2.796,6.587,2.796,4.6915,1.8955,1.172875,0.608942232,77.91
Atropine,https://pubchem.ncbi.nlm.nih.gov/compound/174174#section=IUPAC-Name,"[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate

",51-55-8,C17H23NO3,17,23,1,3,0,0,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15?,16?",289.4,9.7,1.83,-2.12,49.77,31.28,3,1,-6.329,-5.466,-1.712,5.466,1.712,3.589,1.877,0.89725,0.908630794,92
Barbital,https://pubchem.ncbi.nlm.nih.gov/compound/2294#section=IUPAC-Name,"5,5-diethyl-1,3-diazinane-2,4,6-trione",57-44-3,C8H12N2O3,8,12,2,3,0,0,CCC1(C(=O)NC(=O)NC1=O)CC,"InChI=1S/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)",184.19,7.8,0.65,-1.37,75.27,17.59,3,2,-7.083,-6.699,-2.427,6.699,2.427,4.563,2.136,1.14075,0.570458801,93.03572739
barbituric acid,https://pubchem.ncbi.nlm.nih.gov/compound/6211#section=Names-and-Identifiers,"1,3-diazinane-2,4,6-trione",67-52-7,C4H4N2O3,4,4,2,3,0,0,C1C(=O)NC(=O)NC1=O,"InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H2,(H2,5,6,7,8,9)

",128.08,4,-1.47,-1.5,82.25,10.28,5,3,-7.482,-6.967,-2.652,6.967,2.652,4.8095,2.1575,1.202375,0.50764774,97.7
Bemegride,https://www.drugbank.ca/drugs/DB13740,"4-ethyl-4-methylpiperidine-2,6-dione",64-65-3,C8H13NO2,8,13,1,2,0,0,CCC1(C)CC(=O)NC(=O)C1,"InChI=1S/C8H13NO2/c1-3-8(2)4-6(10)9-7(11)5-8/h3-5H2,1-2H3,(H,9,10,11)",155.19,11.2,0.44,-0.79,46.17,16.22,2,1,-6.72,-6.491,-1.943,6.491,1.943,4.217,2.274,1.05425,0.611917326,88.60738711
Benzilic Acid,https://pubchem.ncbi.nlm.nih.gov/compound/6463,"2-hydroxy-2,2-diphenylacetic acid",76-93-7,C14H12O3,14,12,0,3,0,0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,"InChI=1S/C14H12O3/c15-13(16)14(17,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,17H,(H,15,16",228.24,3,2.3,-2.437967,35.53,24.92,3,2,-6.899,-6.248,-2.04,6.248,2.04,4.144,2.104,1.036,0.678707224,95
Benzocaine ,http://www.hmdb.ca/metabolites/HMDB0004992,ethyl 4-aminobenzoate,94-09-7,C9H11NO2,9,11,1,2,0,0,CCOC(=O)C1=CC=C(N)C=C1,"InChI=1S/C9H11NO2/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6H,2,10H2,1H3",165.1891,2.8,1.86,-1.8,52.32,17.46,2,1,-6.086,-5.826,-1.973,5.826,1.973,3.8995,1.9265,0.974875,0.804697638,85.65427747
Benzylpenicillin,https://www.drugbank.ca/drugs/DB01053,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-(2-phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",61-33-6,C16H18N2O4S,16,18,2,4,1,0,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12+,14-/m1/s1",334.39,2.74,1.83,-3.1,86.71,33.54,4,2,-6.389,-6.081,-1.846,6.081,1.846,3.9635,2.1175,0.990875,0.717001181,79.6
Benzoic acid ,http://www.hmdb.ca/metabolites/HMDB0001870,benzoic acid,65-85-0,C7H6O2,7,6,0,2,0,0,OC(=O)C1=CC=CC=C1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",122.123,4.2,1.87,-1.2,37.3,11.97,2,1,-7.148,-6.661,-2.706,6.661,2.706,4.6835,1.9775,1.170875,0.585714286,85
benznidazole,https://www.drugbank.ca/drugs/DB11989,N-benzyl-2-(2-nitro-1H-imidazol-1-yl)acetamide,"22994-85-0

",C12H12N4O3,12,12,4,3,0,0,C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],"InChI=1S/C12H12N4O3/c17-11(14-8-10-4-2-1-3-5-10)9-15-7-6-13-12(15)16(18)19/h1-7H,8-9H2,(H,14,17)",260.25,13.68,0.92,-2.8,90.06,24.96,4,1,-6.691,-6.526,-3.669,6.526,3.669,5.0975,1.4285,1.274375,0.665908295,87.52843867
Benzfetamine,http://www.hmdb.ca/metabolites/HMDB0015003,benzyl(methyl)[(2S)-1-phenylpropan-2-yl]amine,0156-08-01,C17H21N,17,21,1,0,0,0,C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],,239.5,6.6,1.87,-1.55,37.3,11.9,2,1,-6.695,-6.528,-3.674,6.528,3.674,5.101,1.427,1.27525,0.66538192,92.84536455
Benzylamine,http://www.hmdb.ca/metabolites/HMDB0033871,phenylmethanamine,100-46-9,C7H9N,7,9,1,0,0,0,NCC1=CC=CC=C1,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2
",107.15,9.3,1.09,-1,26.02,12.32,1,1,-6.502,-6.131,-1.347,6.131,1.347,3.739,2.392,0.93475,0.681647157,95
Benzquinamide,http://www.hmdb.ca/metabolites/HMDB0014905,"3-(diethylcarbamoyl)-9,10-dimethoxy-1H,2H,3H,4H,6H,7H,11bH-pyrido[2,1-a]isoquinolin-2-yl acetate
",63-12-7,"C22H32N2O5

",22,32,2,5,0,0,CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,"InChI=1S/C22H32N2O5/c1-6-23(7-2)22(26)17-13-24-9-8-15-10-20(27-4)21(28-5)11-16(15)18(24)12-19(17)29-14(3)25/h10-11,17-19H,6-9,12-13H2,1-5H3
",404.5,5.9,1.7,-2.9,68.31,45.27,5,0,-5.642,-5.328,-1.38,5.328,1.38,3.354,1.974,0.8385,0.923505572,95.33212311
Betahistine,http://www.hmdb.ca/metabolites/HMDB0015644,N-methyl-2-pyridin-2-ylethanamine,5638-76-6,C8H12N2,8,12,2,0,0,0,CNCCC1=CC=CC=N1,"InChI=1S/C8H12N2/c1-9-7-5-8-4-2-3-6-10-8/h2-4,6,9H,5,7H2,1H3
",136.19,10.1,0.68,-0.44,24.92,15.85,2,1,-6.197,-5.613,-1.72,5.613,1.72,3.6665,1.9465,0.916625,0.856280503,91.93794433
